Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46,Yes,Travel_Frequently,796,Human Resources,3,1,Life Sciences,1,12,1,Male,68,1,1,Human Resources,2,Single,1009,17835,3,Y,No,16,3,2,80,0,1,3,2,1,1,0,1
35,No,Non-Travel,1470,Sales,19,5,Technical Degree,1,13,3,Male,66,3,1,Sales Executive,3,Married,1881,25604,2,Y,No,11,3,2,80,1,40,2,3,0,0,0,0
54,No,Travel_Rarely,236,Research & Development,5,4,Medical,1,14,4,Male,60,2,1,Laboratory Technician,4,Single,1009,20853,1,Y,No,16,3,2,80,1,8,6,3,2,2,2,1
40,No,Travel_Frequently,462,Research & Development,10,4,Medical,1,15,4,Male,91,2,1,Research Scientist,4,Married,3958,22922,1,Y,No,15,3,3,80,3,9,2,2,1,1,1,0
42,No,Travel_Rarely,670,Research & Development,2,1,Life Sciences,1,16,3,Male,35,3,1,Research Scientist,4,Married,2715,17623,0,Y,Yes,12,3,2,80,1,5,2,3,1,1,1,1
44,No,Non-Travel,1240,Research & Development,6,4,Life Sciences,1,17,1,Female,63,3,3,Research Scientist,4,Married,6260,8544,1,Y,No,13,3,3,80,0,13,3,3,13,8,3,5
41,No,Travel_Rarely,287,Research & Development,3,5,Life Sciences,1,18,2,Female,81,3,2,Manufacturing Director,1,Married,4412,18676,2,Y,No,21,3,4,80,0,7,1,3,3,3,0,2
45,No,Travel_Frequently,579,Research & Development,27,4,Marketing,1,19,4,Male,59,4,1,Research Scientist,2,Divorced,5017,5342,0,Y,No,15,3,3,80,2,4,2,3,4,4,2,4
32,No,Travel_Rarely,989,Research & Development,1,3,Life Sciences,1,20,4,Male,42,3,4,Research Scientist,3,Single,9891,3241,2,Y,No,23,3,2,80,0,3,2,2,3,3,3,2
33,Yes,Travel_Rarely,102,Research & Development,3,5,Human Resources,1,21,3,Male,87,2,2,Laboratory Technician,3,Single,4727,23754,6,Y,No,11,4,3,80,1,29,1,4,0,0,0,0
28,No,Travel_Rarely,951,Research & Development,20,3,Life Sciences,1,22,4,Female,82,2,5,Research Scientist,2,Divorced,11088,8844,1,Y,Yes,13,4,4,80,1,4,3,3,2,2,0,2
42,No,Non-Travel,1069,Research & Development,6,3,Life Sciences,1,23,4,Male,49,2,3,Laboratory Technician,3,Single,4658,6800,1,Y,No,11,3,1,80,0,6,2,1,6,2,4,6
45,Yes,Travel_Frequently,642,Research & Development,8,3,Life Sciences,1,24,3,Male,35,2,1,Laboratory Technician,3,Divorced,2260,6129,6,Y,Yes,11,3,1,80,0,5,3,3,5,0,3,3
42,No,Non-Travel,1093,Research & Development,9,5,Life Sciences,1,25,4,Male,84,2,2,Healthcare Representative,3,Divorced,5488,18334,3,Y,No,12,4,3,80,0,1,2,3,1,1,1,1
53,No,Travel_Rarely,803,Sales,1,1,Marketing,1,26,3,Male,60,3,3,Sales Representative,4,Married,9149,12011,0,Y,No,16,3,3,80,0,2,4,1,2,2,2,2
38,No,Travel_Frequently,371,Research & Development,1,3,Technical Degree,1,27,3,Male,88,3,1,Healthcare Representative,3,Divorced,1009,6062,1,Y,No,16,4,2,80,1,2,2,3,2,1,2,2
44,Yes,Travel_Rarely,999,Research & Development,25,4,Medical,1,28,2,Female,48,3,1,Research Scientist,1,Single,1009,13375,3,Y,No,13,3,4,80,1,13,2,3,2,1,2,1
28,No,Travel_Rarely,520,Research & Development,3,4,Life Sciences,1,29,4,Male,99,4,1,Research Scientist,1,Single,1629,7148,2,Y,No,11,3,3,80,3,6,2,3,1,1,1,1
34,No,Non-Travel,1452,Research & Development,4,3,Life Sciences,1,30,3,Female,57,3,1,Research Director,4,Married,2495,15579,2,Y,No,21,3,4,80,2,17,2,3,2,0,1,1
44,No,Travel_Rarely,296,Research & Development,10,4,Medical,1,31,2,Male,42,3,2,Research Scientist,4,Married,4782,19904,2,Y,No,14,3,1,80,1,14,3,3,3,3,3,0
45,No,Travel_Rarely,356,Research & Development,2,5,Other,1,32,4,Male,81,2,2,Research Scientist,3,Divorced,4817,20319,4,Y,No,11,3,4,80,1,2,3,2,0,0,0,0
35,No,Travel_Rarely,180,Research & Development,12,1,Life Sciences,1,33,4,Female,90,3,1,Laboratory Technician,2,Single,3112,25765,1,Y,No,16,3,1,80,1,9,5,4,5,1,4,5
37,No,Travel_Rarely,1223,Sales,6,3,Marketing,1,34,4,Male,70,3,3,Sales Executive,4,Married,6145,6957,3,Y,No,16,3,3,80,0,15,5,2,9,5,3,0
24,No,Travel_Rarely,1275,Human Resources,17,1,Medical,1,35,1,Female,74,2,2,Human Resources,3,Married,6401,16525,9,Y,No,14,3,3,80,3,11,3,3,5,5,0,1
34,No,Travel_Rarely,887,Sales,3,3,Life Sciences,1,36,3,Male,36,4,1,Sales Executive,4,Married,3150,14179,1,Y,Yes,16,3,2,80,1,10,0,2,1,0,1,1
46,Yes,Travel_Rarely,915,Research & Development,2,3,Medical,1,37,2,Male,43,3,1,Healthcare Representative,4,Single,2020,8268,4,Y,Yes,11,3,4,80,2,15,3,3,4,1,1,4
43,No,Travel_Rarely,548,Research & Development,16,4,Life Sciences,1,38,4,Female,65,2,1,Healthcare Representative,2,Married,4901,20622,1,Y,No,18,3,1,80,3,1,1,3,1,1,1,1
42,No,Travel_Rarely,224,Sales,4,4,Technical Degree,1,39,1,Male,37,4,2,Sales Executive,3,Divorced,7335,2798,1,Y,No,12,3,3,80,1,14,3,2,0,0,0,0
38,Yes,Travel_Rarely,777,Research & Development,5,2,Life Sciences,1,40,3,Female,41,4,1,Manufacturing Director,1,Single,3899,12054,7,Y,No,13,3,2,80,0,4,2,3,0,0,0,0
38,No,Travel_Rarely,460,Research & Development,14,1,Marketing,1,41,4,Male,69,3,2,Manufacturing Director,2,Divorced,1009,3163,0,Y,No,18,3,4,80,1,9,4,2,3,1,2,3
32,No,Travel_Rarely,340,Research & Development,9,3,Life Sciences,1,42,2,Female,91,3,2,Manufacturing Director,4,Married,7368,14160,1,Y,No,20,3,1,80,1,3,5,3,2,1,2,0
44,No,Travel_Rarely,906,Research & Development,5,3,Other,1,43,4,Male,43,3,2,Manager,4,Married,6192,9822,2,Y,Yes,21,3,4,80,1,20,2,3,19,1,1,2
41,No,Travel_Rarely,784,Sales,3,2,Life Sciences,1,44,4,Male,78,3,1,Sales Executive,4,Married,5510,24958,1,Y,No,19,3,4,80,0,7,3,2,6,0,0,4
42,No,Travel_Rarely,770,Research & Development,13,4,Technical Degree,1,45,2,Female,80,2,1,Laboratory Technician,3,Single,4356,25295,2,Y,No,14,3,4,80,0,11,3,4,2,2,1,1
33,No,Travel_Rarely,305,Sales,2,5,Technical Degree,1,46,1,Female,91,3,2,Sales Executive,1,Married,7368,8522,1,Y,Yes,11,3,1,80,3,17,2,2,9,9,5,1
18,No,Travel_Rarely,244,Research & Development,24,3,Other,1,47,2,Female,34,4,4,Healthcare Representative,1,Divorced,11318,24755,0,Y,No,20,3,3,80,3,25,5,2,3,3,3,3
47,No,Travel_Frequently,288,Research & Development,1,4,Medical,1,48,2,Female,96,3,3,Research Director,2,Married,9523,11054,1,Y,No,20,3,1,80,0,14,2,3,1,1,1,1
33,No,Travel_Frequently,223,Research & Development,15,3,Marketing,1,49,4,Female,30,4,2,Laboratory Technician,3,Divorced,7991,17124,2,Y,No,13,3,4,80,2,2,1,3,2,2,0,1
30,No,Travel_Rarely,1475,Research & Development,5,4,Life Sciences,1,50,4,Male,78,4,2,Research Director,3,Married,5325,16968,2,Y,No,19,3,4,80,0,21,4,3,7,5,2,3
44,Yes,Travel_Rarely,1225,Human Resources,2,3,Life Sciences,1,51,1,Male,46,3,2,Human Resources,1,Single,2642,14009,2,Y,No,14,3,3,80,2,11,2,2,0,0,0,0
34,No,Non-Travel,385,Sales,5,2,Medical,1,52,3,Male,64,3,4,Manager,4,Married,9539,10545,2,Y,No,21,3,4,80,0,10,1,3,2,1,2,2
47,No,Travel_Rarely,1050,Sales,2,5,Life Sciences,1,53,3,Male,96,2,1,Sales Executive,2,Divorced,3085,25124,1,Y,No,13,3,1,80,3,28,3,3,2,2,1,0
43,No,Travel_Rarely,628,Sales,1,3,Other,1,54,1,Male,42,3,5,Sales Executive,4,Single,12612,8829,4,Y,No,23,3,3,80,1,3,3,2,2,2,0,2
44,Yes,Travel_Rarely,485,Research & Development,2,4,Life Sciences,1,55,2,Male,66,3,3,Research Scientist,3,Divorced,5630,21421,0,Y,Yes,18,3,2,80,0,3,3,3,3,3,3,3
25,No,Travel_Rarely,999,Sales,18,3,Medical,1,56,2,Male,67,2,3,Sales Executive,1,Divorced,5053,17720,1,Y,No,22,3,4,80,0,8,3,3,8,5,1,8
49,No,Travel_Rarely,288,Research & Development,1,1,Medical,1,57,3,Female,35,3,1,Research Scientist,4,Married,1388,26753,3,Y,No,13,3,4,80,0,15,1,3,9,8,1,5
40,No,Travel_Rarely,1133,Research & Development,29,2,Medical,1,58,3,Male,92,3,2,Research Scientist,4,Single,6212,22983,1,Y,No,17,3,4,80,1,7,3,2,7,3,4,2
34,No,Travel_Rarely,725,Research & Development,1,3,Medical,1,59,4,Male,78,3,2,Manufacturing Director,3,Married,7371,7369,2,Y,No,12,3,4,80,2,11,2,3,11,5,9,2
39,No,Travel_Rarely,646,Research & Development,10,4,Life Sciences,1,60,1,Male,38,2,1,Healthcare Representative,3,Single,3875,22039,1,Y,No,18,4,2,80,1,7,6,2,0,0,0,0
22,No,Travel_Rarely,1015,Research & Development,17,3,Medical,1,61,4,Female,65,2,1,Research Scientist,1,Divorced,4086,24949,2,Y,Yes,19,3,4,80,2,10,0,3,1,1,1,1
41,Yes,Travel_Rarely,191,Research & Development,24,4,Life Sciences,1,62,3,Female,52,3,4,Healthcare Representative,3,Married,9879,16367,1,Y,No,24,3,2,80,1,19,2,3,4,4,1,4
28,No,Travel_Rarely,597,Sales,1,4,Other,1,63,4,Female,86,4,2,Sales Representative,4,Married,2387,11925,9,Y,No,17,3,4,80,3,2,5,3,2,2,0,2
25,No,Travel_Rarely,1061,Research & Development,11,4,Marketing,1,64,3,Male,79,3,2,Research Scientist,1,Married,4317,20871,1,Y,No,18,4,4,80,1,13,6,3,4,4,0,2
24,No,Travel_Rarely,217,Research & Development,1,3,Other,1,65,4,Male,88,3,1,Research Scientist,2,Married,2112,24718,2,Y,No,13,4,1,80,0,17,4,4,2,2,2,2
48,No,Non-Travel,786,Research & Development,4,4,Life Sciences,1,66,4,Male,36,3,3,Laboratory Technician,4,Married,6754,21162,5,Y,No,17,3,2,80,2,7,1,3,1,1,0,1
32,Yes,Travel_Rarely,1145,Research & Development,12,3,Life Sciences,1,67,3,Male,76,3,3,Laboratory Technician,2,Married,7582,20708,3,Y,Yes,14,3,1,80,0,4,3,3,4,2,4,4
51,No,Travel_Rarely,233,Sales,4,3,Life Sciences,1,68,3,Male,85,2,2,Sales Representative,3,Married,5662,13684,2,Y,Yes,16,3,4,80,3,0,2,2,0,0,0,0
33,No,Travel_Frequently,1417,Research & Development,3,2,Life Sciences,1,69,4,Male,37,3,2,Laboratory Technician,3,Married,6280,22225,2,Y,No,16,3,1,80,0,18,4,3,3,0,2,3
22,No,Travel_Rarely,1479,Human Resources,1,3,Life Sciences,1,70,4,Male,65,3,2,Human Resources,3,Divorced,4583,2989,2,Y,Yes,14,3,3,80,0,4,0,3,0,0,0,0
28,No,Travel_Rarely,1362,Sales,1,1,Medical,1,71,4,Female,71,3,2,Sales Representative,3,Married,2144,10946,4,Y,No,15,3,4,80,0,5,2,3,5,1,2,1
49,No,Non-Travel,324,Research & Development,1,3,Life Sciences,1,72,4,Female,68,4,1,Laboratory Technician,2,Married,1776,23518,0,Y,No,14,3,2,80,1,5,3,4,2,2,1,1
36,No,Travel_Frequently,537,Research & Development,19,2,Medical,1,73,3,Male,94,3,5,Healthcare Representative,1,Married,12566,13135,5,Y,No,14,3,3,80,0,8,1,4,2,0,2,2
33,No,Non-Travel,1164,Sales,1,3,Technical Degree,1,74,1,Male,73,3,2,Sales Executive,4,Single,6834,12711,2,Y,No,19,3,3,80,3,13,3,3,3,3,1,1
39,Yes,Travel_Frequently,428,Sales,11,4,Marketing,1,75,2,Male,75,2,1,Manager,4,Single,1648,3204,5,Y,No,16,3,1,80,0,16,4,3,9,9,3,4
42,No,Travel_Rarely,1334,Sales,13,3,Life Sciences,1,76,4,Male,42,4,2,Sales Executive,3,Divorced,5769,22223,0,Y,Yes,16,3,4,80,0,5,3,3,5,5,2,4
48,No,Travel_Rarely,207,Sales,8,2,Life Sciences,1,77,2,Female,66,3,3,Sales Representative,3,Married,7935,8917,5,Y,No,11,3,2,80,0,12,2,2,6,5,0,3
51,No,Travel_Frequently,753,Research & Development,12,2,Medical,1,78,1,Male,43,4,1,Healthcare Representative,2,Married,2566,11444,0,Y,No,17,3,2,80,0,14,4,3,3,3,2,0
34,No,Non-Travel,1374,Research & Development,10,4,Life Sciences,1,79,4,Female,42,3,1,Laboratory Technician,1,Married,3896,4231,3,Y,No,17,3,3,80,0,4,1,3,3,1,2,0
26,Yes,Travel_Rarely,668,Research & Development,5,2,Medical,1,80,4,Male,41,3,3,Healthcare Representative,4,Single,6509,15201,1,Y,Yes,14,3,3,80,0,1,2,3,1,1,1,0
34,No,Travel_Rarely,731,Sales,4,3,Life Sciences,1,81,2,Female,84,3,1,Manager,3,Married,1637,3934,3,Y,No,23,3,4,80,0,25,3,4,19,0,5,1
40,No,Travel_Rarely,789,Research & Development,26,3,Technical Degree,1,82,2,Male,57,2,3,Healthcare Representative,2,Married,7482,20388,2,Y,No,11,3,4,80,0,12,1,2,7,6,0,7
29,Yes,Travel_Rarely,1479,Research & Development,29,4,Marketing,1,83,3,Female,51,3,1,Manufacturing Director,1,Married,1540,13196,0,Y,Yes,18,4,3,80,0,11,1,3,0,0,0,0
29,No,Travel_Rarely,571,Research & Development,9,3,Medical,1,84,1,Male,48,4,3,Research Director,1,Married,8262,2836,2,Y,No,18,4,2,80,1,1,2,3,1,1,1,1
41,No,Travel_Rarely,826,Research & Development,2,4,Life Sciences,1,85,4,Female,59,2,1,Laboratory Technician,2,Single,1430,5254,1,Y,No,17,3,2,80,0,19,5,3,4,2,4,0
37,No,Non-Travel,366,Research & Development,5,1,Life Sciences,1,86,2,Male,83,2,1,Laboratory Technician,4,Single,2839,19794,2,Y,No,16,3,2,80,0,9,5,4,9,3,0,4
38,No,Travel_Frequently,938,Sales,6,3,Marketing,1,87,4,Male,44,3,4,Sales Executive,4,Divorced,9850,6635,3,Y,No,17,3,3,80,0,21,3,4,12,3,2,4
31,No,Travel_Rarely,952,Research & Development,13,2,Medical,1,88,4,Female,59,3,2,Research Scientist,4,Married,5322,26044,0,Y,No,18,4,4,80,1,40,1,2,1,1,1,1
36,No,Travel_Rarely,1409,Sales,10,2,Life Sciences,1,89,3,Female,58,3,2,Sales Representative,4,Married,4310,9775,2,Y,No,13,3,2,80,0,35,1,2,9,1,2,9
29,No,Travel_Rarely,886,Research & Development,7,2,Life Sciences,1,90,2,Female,61,3,1,Research Director,4,Single,1991,25485,2,Y,No,16,3,2,80,1,21,2,2,5,2,1,5
46,No,Non-Travel,635,Research & Development,10,3,Life Sciences,1,91,3,Female,59,3,2,Research Scientist,3,Single,5144,22283,1,Y,No,15,3,3,80,3,0,2,3,0,0,0,0
47,No,Travel_Rarely,470,Sales,1,3,Marketing,1,92,3,Female,45,3,2,Sales Executive,2,Married,5303,16389,8,Y,Yes,11,3,1,80,0,24,1,3,8,0,1,3
21,Yes,Travel_Frequently,800,Sales,13,4,Life Sciences,1,93,2,Male,65,3,5,Sales Representative,4,Married,12494,10202,2,Y,Yes,18,3,4,80,0,1,3,3,1,1,0,1
29,No,Travel_Rarely,1047,Research & Development,2,3,Medical,1,94,4,Male,77,4,5,Research Scientist,2,Married,15058,20209,1,Y,Yes,13,3,3,80,0,21,3,3,0,0,0,0
24,Yes,Travel_Rarely,255,Sales,10,4,Medical,1,95,3,Male,57,3,3,Sales Representative,2,Single,6014,11941,0,Y,No,11,3,3,80,0,4,2,3,4,0,0,4
32,No,Travel_Rarely,721,Research & Development,1,3,Medical,1,96,4,Female,91,4,2,Research Scientist,2,Married,4904,25887,2,Y,No,13,3,2,80,0,10,4,3,7,7,2,0
37,Yes,Travel_Rarely,417,Research & Development,1,3,Technical Degree,1,97,1,Male,85,1,2,Healthcare Representative,3,Single,2640,16362,1,Y,Yes,12,4,4,80,1,0,4,3,0,0,0,0
25,No,Travel_Frequently,1425,Research & Development,1,3,Technical Degree,1,98,1,Male,85,2,3,Laboratory Technician,2,Single,8058,17115,1,Y,No,19,4,1,80,3,16,3,3,3,1,1,2
29,Yes,Travel_Rarely,912,Research & Development,22,1,Medical,1,99,4,Male,46,2,1,Healthcare Representative,1,Married,1009,20045,0,Y,No,16,3,4,80,0,1,1,2,1,0,1,1
29,No,Non-Travel,252,Research & Development,8,1,Life Sciences,1,100,3,Female,91,3,1,Research Scientist,3,Single,2083,20288,2,Y,No,20,3,2,80,0,6,5,3,1,1,1,1
39,No,Travel_Rarely,276,Research & Development,4,3,Medical,1,101,3,Male,50,4,1,Healthcare Representative,4,Single,1942,9968,2,Y,No,13,3,4,80,1,19,3,3,13,3,1,1
38,No,Non-Travel,1180,Research & Development,14,5,Medical,1,102,3,Male,66,3,1,Laboratory Technician,3,Married,2921,7217,0,Y,No,18,4,4,80,0,13,2,3,0,0,0,0
31,No,Travel_Rarely,880,Research & Development,9,4,Medical,1,103,2,Male,63,4,1,Manufacturing Director,4,Married,1671,13302,2,Y,No,25,3,1,80,0,0,3,4,0,0,0,0
39,No,Travel_Rarely,1436,Research & Development,9,1,Medical,1,104,4,Male,58,3,2,Research Director,2,Divorced,4107,16962,8,Y,No,17,3,4,80,1,6,2,4,1,1,0,1
33,Yes,Travel_Rarely,255,Sales,6,4,Life Sciences,1,105,1,Male,97,3,3,Sales Executive,1,Married,9654,17691,9,Y,No,18,3,3,80,0,0,3,3,0,0,0,0
35,No,Travel_Rarely,602,Research & Development,1,4,Medical,1,106,3,Female,89,4,2,Laboratory Technician,3,Single,5427,10763,5,Y,No,18,3,1,80,2,12,3,3,7,2,0,2
53,No,Travel_Rarely,1315,Research & Development,3,3,Life Sciences,1,107,3,Female,40,3,1,Laboratory Technician,3,Single,1658,25758,4,Y,No,11,3,1,80,0,38,3,3,4,3,4,1
50,No,Travel_Frequently,607,Sales,1,4,Marketing,1,108,4,Female,89,3,1,Sales Executive,3,Divorced,2124,7946,1,Y,No,17,3,3,80,1,12,3,3,2,2,2,2
26,No,Travel_Frequently,250,Research & Development,10,3,Life Sciences,1,109,3,Male,63,2,2,Healthcare Representative,4,Married,7468,6799,0,Y,No,16,3,3,80,1,3,3,2,3,2,3,1
45,No,Travel_Rarely,109,Research & Development,3,2,Marketing,1,110,1,Female,62,4,1,Healthcare Representative,4,Married,2147,2235,1,Y,Yes,14,3,4,80,0,5,1,3,0,0,0,0
45,No,Travel_Rarely,694,Research & Development,5,3,Life Sciences,1,111,3,Male,39,3,2,Laboratory Technician,4,Single,3966,17091,2,Y,No,12,3,4,80,0,40,1,2,2,2,0,2
27,No,Travel_Rarely,692,Research & Development,4,3,Life Sciences,1,112,1,Male,89,3,5,Research Scientist,3,Married,11473,6749,5,Y,No,18,3,3,80,0,3,2,3,0,0,0,0
45,No,Travel_Rarely,570,Sales,1,3,Marketing,1,113,2,Female,55,2,1,Sales Executive,2,Single,1676,20576,1,Y,No,12,4,4,80,2,9,2,3,0,0,0,0
51,No,Travel_Rarely,422,Sales,29,3,Life Sciences,1,114,1,Male,54,3,1,Sales Executive,3,Married,1608,12856,2,Y,No,23,4,3,80,1,6,2,4,3,3,1,2
27,Yes,Travel_Rarely,673,Research & Development,24,5,Technical Degree,1,115,3,Male,31,4,2,Manager,1,Divorced,3081,7483,3,Y,No,16,3,2,80,0,16,3,3,2,2,1,2
29,No,Travel_Frequently,552,Sales,1,4,Medical,1,116,1,Female,32,4,5,Sales Executive,2,Divorced,10814,19764,1,Y,No,11,4,4,80,1,22,2,4,2,2,2,2
47,Yes,Travel_Frequently,229,Sales,16,4,Medical,1,117,3,Male,61,1,3,Sales Representative,2,Married,6256,2901,2,Y,Yes,13,3,1,80,1,5,3,2,5,1,0,1
40,No,Travel_Rarely,1412,Research & Development,6,4,Life Sciences,1,118,4,Female,30,3,4,Research Scientist,3,Married,10887,9482,1,Y,No,14,3,2,80,3,12,4,2,1,1,1,1
43,Yes,Travel_Rarely,954,Sales,13,5,Medical,1,119,4,Male,53,3,1,Sales Executive,1,Divorced,1928,22283,9,Y,Yes,24,3,4,80,0,9,1,3,9,1,1,7
41,No,Non-Travel,188,Research & Development,1,1,Medical,1,120,1,Female,79,2,5,Manufacturing Director,1,Married,12189,6598,2,Y,Yes,12,3,3,80,2,4,3,3,4,3,2,1
41,Yes,Travel_Rarely,1206,Sales,1,2,Medical,1,121,2,Male,72,3,1,Sales Representative,3,Single,4405,3067,2,Y,No,15,3,1,80,0,3,5,1,3,1,3,3
26,No,Travel_Rarely,635,Sales,20,3,Marketing,1,122,3,Male,73,2,1,Manager,3,Married,4443,5032,1,Y,Yes,13,3,1,80,2,9,2,2,6,5,2,0
47,No,Travel_Rarely,1377,Research & Development,21,4,Medical,1,123,4,Female,62,3,4,Laboratory Technician,4,Single,9577,2179,2,Y,No,17,3,3,80,0,2,5,3,2,0,1,1
48,No,Travel_Frequently,291,Research & Development,6,3,Life Sciences,1,124,1,Male,67,3,4,Laboratory Technician,3,Married,9054,26201,1,Y,No,13,3,4,80,0,18,3,3,1,0,1,1
36,No,Travel_Rarely,925,Research & Development,18,4,Life Sciences,1,125,4,Male,81,3,1,Manufacturing Director,1,Married,1203,12082,1,Y,No,11,3,3,80,2,1,3,3,1,1,1,1
37,No,Travel_Rarely,480,Research & Development,10,2,Life Sciences,1,126,3,Male,64,3,1,Healthcare Representative,2,Married,3539,16533,1,Y,No,14,4,3,80,2,1,0,3,1,1,0,1
24,Yes,Travel_Rarely,557,Sales,2,2,Life Sciences,1,127,3,Male,46,4,1,Sales Executive,1,Married,2193,17169,0,Y,Yes,14,3,2,80,0,5,4,2,5,5,5,5
42,No,Travel_Rarely,1133,Sales,4,4,Marketing,1,128,4,Male,87,2,1,Sales Executive,4,Single,1920,20986,2,Y,No,13,3,2,80,1,1,3,4,1,1,1,1
43,No,Travel_Rarely,419,Research & Development,1,2,Technical Degree,1,129,4,Male,77,3,1,Laboratory Technician,4,Married,1280,19622,1,Y,No,13,3,1,80,0,7,3,3,1,1,1,1
37,No,Travel_Frequently,435,Research & Development,13,3,Life Sciences,1,130,4,Female,72,2,5,Research Director,2,Divorced,11346,26306,6,Y,No,20,4,2,80,0,6,4,3,2,0,2,2
48,Yes,Travel_Rarely,331,Research & Development,29,2,Other,1,131,2,Male,77,3,3,Laboratory Technician,2,Married,7980,17805,0,Y,Yes,14,3,3,80,0,14,3,3,1,1,1,1
35,No,Travel_Rarely,765,Research & Development,7,3,Medical,1,132,3,Male,73,1,3,Research Scientist,4,Married,5527,23142,0,Y,No,11,3,2,80,0,34,2,4,12,5,2,1
43,No,Non-Travel,609,Research & Development,10,4,Human Resources,1,133,3,Male,62,2,3,Laboratory Technician,3,Divorced,8992,13546,5,Y,Yes,13,3,1,80,1,15,1,3,14,1,0,3
28,No,Travel_Rarely,891,Research & Development,12,3,Marketing,1,134,2,Male,31,3,2,Research Scientist,4,Divorced,4199,17298,0,Y,No,15,3,4,80,0,2,1,3,2,1,2,2
37,No,Travel_Frequently,1025,Sales,2,3,Marketing,1,135,3,Female,39,3,3,Sales Executive,2,Single,7276,23123,0,Y,No,11,3,4,80,0,30,4,3,1,0,1,1
36,No,Travel_Rarely,1412,Research & Development,4,1,Life Sciences,1,136,2,Male,57,4,2,Research Scientist,2,Single,2995,24310,0,Y,No,21,3,4,80,3,5,1,3,1,1,1,1
40,No,Travel_Frequently,1070,Research & Development,5,4,Life Sciences,1,137,1,Female,76,3,1,Laboratory Technician,4,Married,2481,15536,4,Y,No,18,3,3,80,0,7,2,3,7,1,0,2
34,Yes,Travel_Rarely,861,Sales,8,3,Life Sciences,1,138,2,Male,37,4,2,Sales Representative,3,Divorced,4508,6360,4,Y,Yes,20,3,1,80,1,6,2,3,6,0,2,3
36,No,Travel_Rarely,547,Research & Development,17,3,Marketing,1,139,4,Female,52,3,2,Laboratory Technician,3,Divorced,4925,11639,1,Y,No,17,3,4,80,2,4,4,3,2,2,2,2
45,No,Non-Travel,1468,Human Resources,3,4,Life Sciences,1,140,4,Male,77,2,4,Human Resources,3,Divorced,12208,22608,3,Y,No,11,3,1,80,0,25,3,2,0,0,0,0
